id,class,word,num_words
0,WH,Where,4
1,WH,Who,3
2,WH,Who,4
3,WH,Which,8
4,WH,Who,7
5,WH,Where,5
6,Imperative,Give,7
7,WH,What,7
8,WH,When,7
9,Boolean,Is,8
10,WH,Which,9
11,WH,Which,5
12,WH,Who,6
13,WH,Who,6
14,WH,What,7
15,WH,Who,4
16,Imperative,Give,6
17,WH,When,5
18,WH,When,5
19,Imperative,Give,12
20,WH,When,5
21,WH,Who,8
22,WH,Who,9
23,WH,What,10
24,WH,Who,9
25,WH,Who,7
26,WH,When,5
27,WH,Who,4
28,WH,When,6
29,WH,Who,6
30,WH,Where,5
31,WH,Who,9
32,WH,Who,11
33,WH,Who,11
34,WH,Which,7
35,WH,Which,7
36,Imperative,Give,5
37,Imperative,Name,7
38,WH,When,8
39,Imperative,Give,6
40,WH,In which,7
41,WH,What,7
42,WH,Where,5
43,WH,What,8
44,WH,Who,7
45,WH,Which,6
46,Imperative,Give,6
47,WH,Who,6
48,Imperative,Name,7
49,WH,When,7
50,WH,Where,5
51,WH,What,7
52,How,How,14
53,WH,What,8
54,WH,What,6
55,WH,Who,8
56,Imperative,Return,8
57,WH,In which,7
58,WH,Where,5
59,WH,When,4
60,WH,What,7
61,Imperative,Return,6
62,Imperative,Show,7
63,WH,Who,10
64,WH,Who,7
65,Imperative,List,12
66,How,How,7
67,WH,Where,8
68,Noun,Bullet,8
69,WH,When,8
70,WH,Where,7
71,WH,What,7
72,WH,What,10
73,Imperative,Name,5
74,Imperative,List,7
75,WH,Where,5
76,Imperative,Show,6
77,Noun,The entertainment,11
78,WH,Which,8
79,WH,When,5
80,WH,Where,11
81,WH,What,9
82,WH,What,6
83,Noun,Forma,7
84,Imperative,Name,7
85,WH,Who,7
86,Imperative,Give,10
87,WH,Where,5
88,Noun,Queens,5
89,WH,When,5
90,WH,In which,7
91,Imperative,Give,6
92,WH,What,8
93,Imperative,Name,5
94,WH,Where,10
95,Imperative,Show,7
96,WH,When,7
97,WH,Where,6
98,WH,Where,5
99,WH,When,5
