id,class,word,num_words
1,WH,What,6
4,WH,Which,7
6,Boolean,Are Taiko,8
7,Imperative,Give,9
8,WH,Who,3
9,WH,In which,9
10,Count,How many,10
13,WH,Which,7
14,Imperative,Show,15
15,How,How,8
19,WH,Who,6
20,Count,How many,7
21,WH,Who,4
22,Count,How many,7
23,WH,Which,9
24,Count,How many,6
25,WH,What,7
26,WH,What,9
27,WH,Which,7
29,WH,Which,9
31,WH,Who,6
32,WH,What,6
34,Imperative,Give,6
37,WH,What,7
38,Imperative,Give,10
39,WH,Which,6
40,WH,Who,7
42,WH,Which,9
43,Imperative,Give,11
44,WH,Which,7
45,WH,Where,5
49,WH,Which,8
50,WH,What,7
51,WH,When,15
52,Imperative,Give,7
56,Count,How many,11
59,WH,Which,10
60,WH,Who,6
62,WH,What,7
63,WH,Who,4
64,WH,What,7
66,WH,Which,11
68,WH,Which,7
71,Imperative,Give,8
73,Count,How many,12
78,WH,When,7
79,Boolean,Are there,8
80,Imperative,Give,9
81,Noun,Butch,9
82,WH,When,5
83,Imperative,Give,8
84,WH,Which,10
86,WH,What,7
87,WH,Which,6
88,WH,What,6
92,Boolean,Is,8
94,WH,When,5
95,WH,Who,9
96,WH,Which,8
97,Imperative,Give,12
98,WH,Who,3
99,WH,What,9
101,Count,How many,10
102,WH,When,5
103,WH,Where,4
104,WH,Who,9
105,WH,Which,7
107,WH,Who,8
108,WH,When,6
110,WH,Which,5
111,Count,How many,6
113,WH,Which,8
114,How,How,6
115,Count,How many,9
116,WH,Who,4
117,Boolean,Is,5
119,WH,Which,6
120,WH,Who,9
122,WH,Who,7
123,Imperative,Give,7
124,WH,When,5
125,Count,How many,9
126,Noun,Sean,9
128,WH,Who,6
129,WH,Who,7
131,WH,What,6
132,WH,What,6
133,WH,What,10
134,WH,What,5
135,WH,When,5
136,Count,How many,6
137,Imperative,Give,5
138,Imperative,Give,9
139,WH,Which,7
140,Count,How many,9
141,WH,Which,6
143,WH,What,7
144,WH,Whom,5
145,WH,Who,3
148,WH,What,9
149,WH,Which,8
150,WH,In which,9
151,Imperative,Give,7
152,WH,Which,9
154,WH,Which,7
155,WH,What,7
156,WH,Where,5
157,Imperative,Give,7
158,Imperative,Give,11
159,WH,Which,7
160,WH,Who,4
162,How,How,5
163,Imperative,Give,5
164,WH,Who,7
165,WH,What,11
166,WH,Which,6
167,WH,Which,10
168,WH,Which,7
169,Imperative,Give,7
171,WH,When,8
173,WH,When,6
174,WH,Who,13
175,WH,When,4
176,WH,Who,9
177,WH,Which,11
178,Count,How many,7
179,WH,What,10
181,WH,Through which,8
182,WH,Which,5
183,WH,Who,6
187,WH,Who,7
188,Imperative,Give,6
189,WH,In which,10
190,WH,Who,11
192,WH,Which,7
194,WH,Which,7
196,WH,Which,7
197,WH,Which,7
198,WH,Who,5
199,Imperative,Give,5
201,WH,What,12
203,How,How,5
206,WH,What,13
207,WH,Which,14
209,Imperative,Give,4
210,WH,Which,11
211,Imperative,Give,10
212,WH,Which,12
213,Imperative,Show,5
214,Imperative,Give,7
