id,class,word,num_words
0,WH,What,10
1,WH,What,10
2,WH,When,7
3,WH,When,7
4,Imperative,List,9
5,WH,When,8
6,WH,When,8
7,Boolean,Was,11
8,WH,What,10
9,WH,What,12
10,Boolean,Does,9
11,WH,When,8
12,WH,What,9
13,Boolean,Can,10
14,WH,When,6
15,WH,When,9
16,WH,What,11
17,WH,When,8
18,Boolean,Is,11
19,WH,When,11
20,Boolean,Has,9
21,WH,When,9
22,WH,Where,9
23,WH,When,9
24,WH,What,11
25,WH,What,12
26,Boolean,Is,11
27,WH,Who,12
28,WH,What,8
29,Count,How many,7
30,Boolean,Was,9
31,WH,What,8
32,WH,What,8
33,WH,What,9
34,WH,What,8
35,WH,When,6
36,WH,What,9
37,WH,What,8
38,WH,What,8
39,WH,When,6
40,Boolean,Did,7
41,WH,What,9
42,WH,What,9
43,WH,What,9
44,WH,When,6
45,WH,What,9
46,WH,Where,7
47,WH,What,7
48,WH,Where,4
49,Boolean,Is,5
50,Boolean,Is,6
51,Count,How many,8
52,WH,What,11
53,WH,Who,9
54,WH,What,10
55,WH,In what,9
56,WH,When,7
57,WH,What,9
58,WH,When,6
59,Boolean,Is,6
60,WH,Where,6
61,WH,What,11
62,WH,What,10
63,Count,How many,10
64,Boolean,Was,9
65,WH,When,8
66,WH,What,11
67,WH,When,5
68,WH,Where,5
69,Boolean,Is,4
70,WH,What,8
71,WH,What,7
72,Boolean,Is,5
73,Boolean,Is,6
74,WH,When,5
75,WH,Who,7
76,Boolean,Is,7
77,WH,When,5
78,WH,Who,7
79,Boolean,Is,5
80,WH,Where,6
81,Boolean,Is,6
82,WH,What,12
83,WH,When,9
84,WH,Where,10
85,WH,When,9
